"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Rarity,Condition,Printing,Language,Price Bought,Date Bought,LOW,MID,MARKET
bulk common,9,0,Ages of Stars and Frost,PHNI,Phantom Nightmare,PHNI-EN059,C,NearMint,1st Edition,English,0.04,2024-12-20,0.01,0.10,0.04
bulk common,12,0,Agnimal Candle,DUNE,Duelist Nexus,DUNE-EN027,C,NearMint,1st Edition,English,0.09,2024-12-22,0.01,0.15,0.09
bulk common,7,0,Alghoul Mazera,DIFO,Dimension Force,DIFO-EN014,C,NearMint,1st Edition,English,0.14,2024-12-20,0.05,0.20,0.08
bulk common,12,0,Altergeist Revitalization,DUNE,Duelist Nexus,DUNE-EN069,C,NearMint,1st Edition,English,0.05,2024-12-22,0.01,0.11,0.05
bulk common,7,0,Amaze Attraction Thrill Train,POTE,Power Of The Elements,POTE-EN077,C,NearMint,1st Edition,English,0.04,2024-12-21,0.01,0.15,0.05
bulk common,4,0,Amazoness Augusta,DABL,Darkwing Blast,DABL-EN097,C,NearMint,1st Edition,English,0.09,2024-12-21,0.01,0.18,0.10
bulk common,8,0,Amazoness Golden Whip Master,DABL,Darkwing Blast,DABL-EN093,C,NearMint,1st Edition,English,0.06,2024-12-21,0.01,0.18,0.07
bulk common,7,0,Amazoness Pet Liger King,DABL,Darkwing Blast,DABL-EN098,C,NearMint,1st Edition,English,0.07,2024-12-21,0.01,0.18,0.09
bulk common,6,0,Amazoness Secret Arts,DABL,Darkwing Blast,DABL-EN099,C,NearMint,1st Edition,English,0.08,2024-12-21,0.01,0.15,0.07
bulk common,8,0,Amazoness Silver Sword Master,DABL,Darkwing Blast,DABL-EN094,C,NearMint,1st Edition,English,0.05,2024-12-21,0.01,0.18,0.06
bulk common,5,0,Amazoness Spiritualist,DABL,Darkwing Blast,DABL-EN096,C,NearMint,1st Edition,English,0.05,2024-12-21,0.01,0.18,0.07
bulk common,6,0,Amazoness War Chief,DABL,Darkwing Blast,DABL-EN095,C,NearMint,1st Edition,English,0.09,2024-12-21,0.01,0.19,0.11
bulk common,4,0,Amphibious Bugroth MK-11,DIFO,Dimension Force,DIFO-EN029,C,NearMint,1st Edition,English,0.06,2024-12-20,0.01,0.10,0.06
bulk common,6,0,Ancient Warriors - Savage Don Ying,DIFO,Dimension Force,DIFO-EN024,C,NearMint,1st Edition,English,0.07,2024-12-20,0.01,0.11,0.07
bulk common,8,0,Ancient Warriors Saga - Deception and Betrayal,DIFO,Dimension Force,DIFO-EN064,C,NearMint,1st Edition,English,0.07,2024-12-20,0.01,0.10,0.07
bulk common,10,0,Aqua Chorus Round,DUNE,Duelist Nexus,DUNE-EN067,C,NearMint,1st Edition,English,0.04,2024-12-22,0.01,0.10,0.04
bulk common,11,0,Aroma Blend,PHNI,Phantom Nightmare,PHNI-EN068,C,NearMint,1st Edition,English,0.14,2024-12-20,0.01,0.15,0.14
bulk common,6,0,Aroma Healing,PHNI,Phantom Nightmare,PHNI-EN077,C,NearMint,1st Edition,English,0.14,2024-12-20,0.01,0.14,0.11
bulk common,9,0,Ashened for Eternity,PHNI,Phantom Nightmare,PHNI-EN096,C,NearMint,1st Edition,English,0.12,2024-12-20,0.01,0.15,0.11
bulk common,6,0,"Askaan, the Bicorned Ghoti",POTE,Power Of The Elements,POTE-EN089,C,NearMint,1st Edition,English,0.12,2024-12-21,0.02,0.20,0.15
bulk common,100,0,Bacha the Melodious Maestra,LEDE,Legacy Of Destruction,LEDE-EN035,C,NearMint,1st Edition,English,0.17,2024-12-18,0.05,0.21,0.17
bulk common,5,0,Backup Team,DIFO,Dimension Force,DIFO-EN085,C,NearMint,1st Edition,English,0.06,2024-12-20,0.01,0.10,0.04
bulk common,3,0,Battleguard Cadet,DIFO,Dimension Force,DIFO-EN025,C,NearMint,1st Edition,English,0.06,2024-12-20,0.01,0.10,0.06
bulk common,9,0,Bayerock Dragon,DABL,Darkwing Blast,DABL-EN081,C,NearMint,1st Edition,English,0.03,2024-12-21,0.01,0.15,0.03
bulk common,12,0,Behemoth the King of a Hundred Battles,DUNE,Duelist Nexus,DUNE-EN024,C,NearMint,1st Edition,English,0.06,2024-12-22,0.01,0.10,0.06
bulk common,6,0,Berserk Archfiend,PHNI,Phantom Nightmare,PHNI-EN027,C,NearMint,1st Edition,English,0.10,2024-12-21,0.01,0.10,0.10
bulk common,10,0,Beta Evolution Pill - Ultranscendance,DUNE,Duelist Nexus,DUNE-EN063,C,NearMint,1st Edition,English,0.08,2024-12-22,0.01,0.11,0.08
bulk common,4,0,Black Shadow Squall,DABL,Darkwing Blast,DABL-EN072,C,NearMint,1st Edition,English,0.04,2024-12-21,0.01,0.15,0.03
bulk common,7,0,Blackwing - Twin Shadow,DABL,Darkwing Blast,DABL-EN071,C,NearMint,1st Edition,English,0.09,2024-12-21,0.01,0.15,0.09
bulk common,7,0,Blackwing - Zonda the Dusk,DABL,Darkwing Blast,DABL-EN005,C,NearMint,1st Edition,English,0.03,2024-12-21,0.01,0.15,0.03
bulk common,8,0,Branded Expulsion,POTE,Power Of The Elements,POTE-EN070,C,NearMint,1st Edition,English,0.11,2024-12-21,0.01,0.19,0.11
bulk common,5,0,Branded in Central Dogmatika,POTE,Power Of The Elements,POTE-EN058,C,NearMint,1st Edition,English,0.08,2024-12-21,0.01,0.15,0.07
bulk common,6,0,Branded Loss,DIFO,Dimension Force,DIFO-EN057,C,NearMint,1st Edition,English,0.02,2024-12-20,0.01,0.12,0.04
bulk common,10,0,Breath of the Tistina,DUNE,Duelist Nexus,DUNE-EN091,C,NearMint,1st Edition,English,0.04,2024-12-22,0.01,0.10,0.04
bulk common,6,0,Brilliant Rose,POTE,Power Of The Elements,POTE-EN021,C,NearMint,1st Edition,English,0.09,2024-12-21,0.01,0.10,0.08
bulk common,13,0,Buzzsaw Shark,LED9,Legendary Duelists: Duels From The Deep,LED9-EN052,C,NearMint,1st Edition,English,0.07,2024-12-20,0.01,0.15,0.07
bulk common,8,0,Cartorhyn the Hidden Gem of the Seafront,POTE,Power Of The Elements,POTE-EN036,C,NearMint,1st Edition,English,0.11,2024-12-21,0.01,0.15,0.09
bulk common,5,0,Celestial Apparatus Tesea,DABL,Darkwing Blast,DABL-EN028,C,NearMint,1st Edition,English,0.04,2024-12-21,0.01,0.15,0.04
